Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D3,LESD5D5.0CT1G,LESD5D50CT1G,170.7383,-142.6591,270,top
D6,LESD5D5.0CT1G,LESD5D50CT1G,177.8762,-142.6591,270,top
D7,LESD5D5.0CT1G,LESD5D50CT1G,174.30725,-142.6591,270,top
J6,USB_B_Micro,USB_Micro-B_Molex_47346-0001,174.23554,-148.36226,0,top
Q1,SS8050-G,SOT95P240X115-3N,185.3819,-120.7389,0,top
Q2,SS8050-G,SOT95P240X115-3N,177.3682,-121.8184,180,top
Q3,DMP2160U,SOT-23,111.125,-83.3374,90,top
Q4,NTR4501,SOT-23,101.2952,-90.297,270,top
Q5,NTR4501,SOT-23,126.746,-134.9756,270,top
Q6,DMP2160U,SOT-23,122.936,-139.8016,270,top
Q7,MMBT2222A,SOT95P240X120-3N,133.68,-90.551,90,top
Q8,DMP2160U,SOT-23,132.2324,-134.1628,0,top
Q9,NTR4501,SOT-23,134.6708,-142.0876,0,top
U1,ESP32-WROVER,ESP32-WROVER,192.921,-102.616,270,top
U2,DRV8825PWP,Texas_Instruments-DRV8825PWP-Level_A,111.8997,-64.9605,270,top
U3,DRV8874PWPR,DRV8874PWPR,146.736,-69.9008,270,top
U8,CP2102N-A01-GQFN28,QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm,174.3456,-133.0452,90,top
